# GREAT version 3.0.0	Species assembly: danRer7	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Biological Process	GO:0051876	pigment granule dispersal	1	1.821728e-5	7.408968e-2	7.408968e-2	3.138025e+2	6.373436e-3	2	6.373436e-4	2.000000e-1	1	1.875018e-3	1.000000e+0	1.000000e+0	5.330938e+2	1.875843e-3	1	2	6.250000e-2	5.000000e-1	DMR_10,DMR_34	kcnj13
GO Biological Process	GO:0051877	pigment granule aggregation in cell center	2	5.615295e-5	2.283740e-1	1.141870e-1	1.785058e+2	1.120412e-2	2	1.120412e-3	2.000000e-1	8	7.480315e-3	1.000000e+0	1.000000e+0	1.332734e+2	7.503371e-3	1	8	6.250000e-2	1.250000e-1	DMR_10,DMR_34	kcnj13
GO Biological Process	GO:0051905	establishment of pigment granule localization	3	2.234207e-4	9.086520e-1	3.028840e-1	8.922330e+1	2.241567e-2	2	2.241567e-3	2.000000e-1	28	1.952404e-2	1.000000e+0	1.000000e+0	5.077083e+1	1.969635e-2	1	21	6.250000e-2	4.761905e-2	DMR_10,DMR_34	kcnj13
GO Biological Process	GO:0051875	pigment granule localization	4	2.637679e-4	1.000000e+0	2.681860e-1	8.207349e+1	2.436841e-2	2	2.436841e-3	2.000000e-1	36	2.228384e-2	1.000000e+0	1.000000e+0	4.442448e+1	2.251011e-2	1	24	6.250000e-2	4.166667e-2	DMR_10,DMR_34	kcnj13
GO Biological Process	GO:0033059	cellular pigmentation	5	3.031501e-4	1.000000e+0	2.465823e-1	7.652092e+1	2.613664e-2	2	2.613664e-3	2.000000e-1	40	2.595224e-2	1.000000e+0	1.000000e+0	3.807812e+1	2.626180e-2	1	28	6.250000e-2	3.571429e-2	DMR_10,DMR_34	kcnj13
GO Biological Process	GO:0051650	establishment of vesicle localization	6	4.438189e-4	1.000000e+0	3.008352e-1	6.314879e+1	3.167123e-2	2	3.167123e-3	2.000000e-1	41	2.778160e-2	1.000000e+0	1.000000e+0	3.553958e+1	2.813764e-2	1	30	6.250000e-2	3.333333e-2	DMR_10,DMR_34	kcnj13
GO Biological Process	GO:0048511	rhythmic process	7	5.407750e-4	1.000000e+0	3.141903e-1	5.715774e+1	3.499089e-2	2	3.499089e-3	2.000000e-1	33	2.044479e-2	1.000000e+0	1.000000e+0	4.846307e+1	2.063427e-2	1	22	6.250000e-2	4.545455e-2	DMR_10,DMR_34	mtnr1ba
GO Biological Process	GO:0051648	vesicle localization	8	5.503183e-4	1.000000e+0	2.797681e-1	5.665528e+1	3.530121e-2	2	3.530121e-3	2.000000e-1	45	3.143066e-2	1.000000e+0	1.000000e+0	3.135846e+1	3.188933e-2	1	34	6.250000e-2	2.941176e-2	DMR_10,DMR_34	kcnj13
GO Biological Process	GO:0051656	establishment of organelle localization	9	2.108140e-3	1.000000e+0	9.526450e-1	2.868195e+1	6.973026e-2	2	6.973026e-3	2.000000e-1	53	5.305677e-2	1.000000e+0	1.000000e+0	1.838254e+1	5.439944e-2	1	58	6.250000e-2	1.724138e-2	DMR_10,DMR_34	kcnj13
GO Biological Process	GO:0051640	organelle localization	10	2.439027e-3	1.000000e+0	9.919523e-1	2.662727e+1	7.511096e-2	2	7.511096e-3	2.000000e-1	56	6.016430e-2	1.000000e+0	1.000000e+0	1.615436e+1	6.190281e-2	1	66	6.250000e-2	1.515152e-2	DMR_10,DMR_34	kcnj13
GO Biological Process	GO:0043473	pigmentation	11	5.517809e-3	1.000000e+0	1.000000e+0	1.751969e+1	1.141573e-1	2	1.141573e-2	2.000000e-1	61	7.073187e-2	1.000000e+0	1.000000e+0	1.366907e+1	7.315786e-2	1	78	6.250000e-2	1.282051e-2	DMR_10,DMR_34	kcnj13
GO Biological Process	GO:0007414	axonal defasciculation	12	6.802441e-3	1.000000e+0	1.000000e+0	1.465555e+2	6.823354e-3	1	6.823354e-4	1.000000e-1	1	1.875018e-3	1.000000e+0	1.000000e+0	5.330938e+2	1.875843e-3	1	2	6.250000e-2	5.000000e-1	DMR_1	slit2
GO Biological Process	GO:0006813	potassium ion transport	13	9.392439e-3	1.000000e+0	1.000000e+0	1.329906e+1	1.503866e-1	2	1.503866e-2	2.000000e-1	76	1.051582e-1	1.000000e+0	1.000000e+0	9.035487e+0	1.106747e-1	1	118	6.250000e-2	8.474576e-3	DMR_10,DMR_34	kcnj13
GO Biological Process	GO:0034765	regulation of ion transmembrane transport	14	1.116259e-2	1.000000e+0	1.000000e+0	1.215300e+1	1.645684e-1	2	1.645684e-2	2.000000e-1	74	9.837005e-2	1.000000e+0	1.000000e+0	9.692614e+0	1.031713e-1	1	110	6.250000e-2	9.090909e-3	DMR_10,DMR_34	kcnj13
GO Biological Process	GO:0006303	double-strand break repair via nonhomologous end joining	15	1.126990e-2	1.000000e+0	1.000000e+0	8.828101e+1	1.132746e-2	1	1.132746e-3	1.000000e-1	5	5.615170e-3	1.000000e+0	1.000000e+0	1.776979e+2	5.627528e-3	1	6	6.250000e-2	1.666667e-1	DMR_35	xrcc5
GO Biological Process	GO:0034762	regulation of transmembrane transport	16	1.168481e-2	1.000000e+0	1.000000e+0	1.186569e+1	1.685532e-1	2	1.685532e-2	2.000000e-1	75	9.922120e-2	1.000000e+0	1.000000e+0	9.605293e+0	1.041093e-1	1	111	6.250000e-2	9.009009e-3	DMR_10,DMR_34	kcnj13
GO Biological Process	GO:0043269	regulation of ion transport	17	1.272796e-2	1.000000e+0	1.000000e+0	1.134563e+1	1.762793e-1	2	1.762793e-2	2.000000e-1	77	1.068477e-1	1.000000e+0	1.000000e+0	8.884896e+0	1.125506e-1	1	120	6.250000e-2	8.333333e-3	DMR_10,DMR_34	kcnj13
GO Biological Process	GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	18	1.334006e-2	1.000000e+0	1.000000e+0	7.451110e+1	1.342082e-2	1	1.342082e-3	1.000000e-1	6	6.548153e-3	1.000000e+0	1.000000e+0	1.523125e+2	6.565449e-3	1	7	6.250000e-2	1.428571e-1	DMR_35	xrcc5
GO Biological Process	GO:0003262	endocardial progenitor cell migration to the midline involved in heart field formation	19	1.727081e-2	1.000000e+0	1.000000e+0	5.744974e+1	1.740652e-2	1	1.740652e-3	1.000000e-1	3	3.746739e-3	1.000000e+0	1.000000e+0	2.665469e+2	3.751685e-3	1	4	6.250000e-2	2.500000e-1	DMR_1	slit2
GO Biological Process	GO:0072332	intrinsic apoptotic signaling pathway by p53 class mediator	20	1.824411e-2	1.000000e+0	1.000000e+0	5.436069e+1	1.839564e-2	1	1.839564e-3	1.000000e-1	11	9.342180e-3	1.000000e+0	1.000000e+0	1.066188e+2	9.379213e-3	1	10	6.250000e-2	1.000000e-1	DMR_35	xrcc5
GO Biological Process	GO:0072331	signal transduction by p53 class mediator	21	1.931190e-2	1.000000e+0	1.000000e+0	5.132994e+1	1.948181e-2	1	1.948181e-3	1.000000e-1	16	1.120077e-2	1.000000e+0	1.000000e+0	8.884896e+1	1.125506e-2	1	12	6.250000e-2	8.333333e-2	DMR_35	xrcc5
GO Biological Process	GO:0033564	anterior/posterior axon guidance	22	2.053713e-2	1.000000e+0	1.000000e+0	4.824058e+1	2.072944e-2	1	2.072944e-3	1.000000e-1	4	4.681366e-3	1.000000e+0	1.000000e+0	2.132375e+2	4.689607e-3	1	5	6.250000e-2	2.000000e-1	DMR_1	slit2
GO Biological Process	GO:0051049	regulation of transport	23	2.073025e-2	1.000000e+0	1.000000e+0	8.767911e+0	2.281045e-1	2	2.281045e-2	2.000000e-1	93	1.553641e-1	1.000000e+0	1.000000e+0	5.956355e+0	1.678879e-1	1	179	6.250000e-2	5.586592e-3	DMR_10,DMR_34	kcnj13
GO Biological Process	GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	24	2.105252e-2	1.000000e+0	1.000000e+0	4.704850e+1	2.125466e-2	1	2.125466e-3	1.000000e-1	21	1.305609e-2	1.000000e+0	1.000000e+0	7.615625e+1	1.313090e-2	1	14	6.250000e-2	7.142857e-2	DMR_35	xrcc5
