# GREAT version 3.0.0	Species assembly: danRer7	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Molecular Function	GO:0008502	melatonin receptor activity	1	1.315119e-4	2.376420e-1	2.376420e-1	1.164568e+2	1.717376e-2	2	1.717376e-3	2.000000e-1	1	5.615170e-3	1.000000e+0	1.000000e+0	1.776979e+2	5.627528e-3	1	6	6.250000e-2	1.666667e-1	DMR_10,DMR_34	mtnr1ba
GO Molecular Function	GO:0005242	inward rectifier potassium channel activity	2	3.364355e-4	6.079389e-1	3.039695e-1	7.260976e+1	2.754451e-2	2	2.754451e-3	2.000000e-1	5	2.044479e-2	1.000000e+0	1.000000e+0	4.846307e+1	2.063427e-2	1	22	6.250000e-2	4.545455e-2	DMR_10,DMR_34	kcnj13
GO Molecular Function	GO:0005249	voltage-gated potassium channel activity	3	5.583936e-3	1.000000e+0	1.000000e+0	1.741237e+1	1.148608e-1	2	1.148608e-2	2.000000e-1	14	7.858433e-2	1.000000e+0	1.000000e+0	1.225503e+1	8.159916e-2	1	87	6.250000e-2	1.149425e-2	DMR_10,DMR_34	kcnj13
GO Molecular Function	GO:0005267	potassium channel activity	4	8.721116e-3	1.000000e+0	1.000000e+0	1.382242e+1	1.446924e-1	2	1.446924e-2	2.000000e-1	16	9.751815e-2	1.000000e+0	1.000000e+0	9.781537e+0	1.022334e-1	1	109	6.250000e-2	9.174312e-3	DMR_10,DMR_34	kcnj13
GO Molecular Function	GO:0015079	potassium ion transmembrane transporter activity	5	8.798201e-3	1.000000e+0	1.000000e+0	1.375930e+1	1.453563e-1	2	1.453563e-2	2.000000e-1	17	9.837005e-2	1.000000e+0	1.000000e+0	9.692614e+0	1.031713e-1	1	110	6.250000e-2	9.090909e-3	DMR_10,DMR_34	kcnj13
GO Molecular Function	GO:0042162	telomeric DNA binding	6	1.268449e-2	1.000000e+0	1.000000e+0	7.838536e+1	1.275748e-2	1	1.275748e-3	1.000000e-1	2	6.548153e-3	1.000000e+0	1.000000e+0	1.523125e+2	6.565449e-3	1	7	6.250000e-2	1.428571e-1	DMR_35	xrcc5
GO Molecular Function	GO:0022843	voltage-gated cation channel activity	7	1.511651e-2	1.000000e+0	1.000000e+0	1.036448e+1	1.929668e-1	2	1.929668e-2	2.000000e-1	19	1.127375e-1	1.000000e+0	1.000000e+0	8.395177e+0	1.191160e-1	1	127	6.250000e-2	7.874016e-3	DMR_10,DMR_34	kcnj13
GO Molecular Function	GO:0004715	non-membrane spanning protein tyrosine kinase activity	8	1.548564e-2	1.000000e+0	1.000000e+0	6.412465e+1	1.559463e-2	1	1.559463e-3	1.000000e-1	4	1.768012e-2	1.000000e+0	1.000000e+0	5.611513e+1	1.782051e-2	1	19	6.250000e-2	5.263158e-2	DMR_29	fer
GO Molecular Function	GO:0015276	ligand-gated ion channel activity	9	1.575103e-2	1.000000e+0	1.000000e+0	1.014211e+1	1.971977e-1	2	1.971977e-2	2.000000e-1	21	1.160868e-1	1.000000e+0	1.000000e+0	8.138836e+0	1.228677e-1	1	131	6.250000e-2	7.633588e-3	DMR_10,DMR_34	kcnj13
GO Molecular Function	GO:0004003	ATP-dependent DNA helicase activity	10	1.934625e-2	1.000000e+0	1.000000e+0	5.123798e+1	1.951677e-2	1	1.951677e-3	1.000000e-1	3	1.583295e-2	1.000000e+0	1.000000e+0	6.271691e+1	1.594466e-2	1	17	6.250000e-2	5.882353e-2	DMR_35	xrcc5
GO Molecular Function	GO:0005244	voltage-gated ion channel activity	11	1.939023e-2	1.000000e+0	1.000000e+0	9.085117e+0	2.201403e-1	2	2.201403e-2	2.000000e-1	23	1.334767e-1	1.000000e+0	1.000000e+0	7.014391e+0	1.425640e-1	1	152	6.250000e-2	6.578947e-3	DMR_10,DMR_34	kcnj13
GO Molecular Function	GO:0022832	voltage-gated channel activity	12	1.975768e-2	1.000000e+0	1.000000e+0	8.994937e+0	2.223473e-1	2	2.223473e-2	2.000000e-1	24	1.351160e-1	1.000000e+0	1.000000e+0	6.923295e+0	1.444399e-1	1	154	6.250000e-2	6.493506e-3	DMR_10,DMR_34	kcnj13
GO Molecular Function	GO:0003684	damaged DNA binding	13	2.625762e-2	1.000000e+0	1.000000e+0	3.763199e+1	2.657313e-2	1	2.657313e-3	1.000000e-1	8	2.320215e-2	1.000000e+0	1.000000e+0	4.264750e+1	2.344803e-2	1	25	6.250000e-2	4.000000e-2	DMR_35	xrcc5
GO Molecular Function	GO:0005261	cation channel activity	14	3.063615e-2	1.000000e+0	1.000000e+0	7.110756e+0	2.812641e-1	2	2.812641e-2	2.000000e-1	29	1.790750e-1	1.000000e+0	1.000000e+0	5.101376e+0	1.960256e-1	1	209	6.250000e-2	4.784689e-3	DMR_10,DMR_34	kcnj13
GO Molecular Function	GO:0003678	DNA helicase activity	15	3.516105e-2	1.000000e+0	1.000000e+0	2.798761e+1	3.573010e-2	1	3.573010e-3	1.000000e-1	9	2.869507e-2	1.000000e+0	1.000000e+0	3.439315e+1	2.907556e-2	1	31	6.250000e-2	3.225806e-2	DMR_35	xrcc5
GO Molecular Function	GO:0008094	DNA-dependent ATPase activity	16	3.939624e-2	1.000000e+0	1.000000e+0	2.492982e+1	4.011261e-2	1	4.011261e-3	1.000000e-1	10	3.325037e-2	1.000000e+0	1.000000e+0	2.961632e+1	3.376517e-2	1	36	6.250000e-2	2.777778e-2	DMR_35	xrcc5
GO Molecular Function	GO:0015077	monovalent inorganic cation transmembrane transporter activity	17	4.064212e-2	1.000000e+0	1.000000e+0	6.097056e+0	3.280272e-1	2	3.280272e-2	2.000000e-1	36	2.392898e-1	1.000000e+0	1.000000e+0	3.689230e+0	2.710593e-1	1	289	6.250000e-2	3.460208e-3	DMR_10,DMR_34	kcnj13
GO Molecular Function	GO:0046873	metal ion transmembrane transporter activity	18	5.177997e-2	1.000000e+0	1.000000e+0	5.334419e+0	3.749237e-1	2	3.749237e-2	2.000000e-1	37	2.414652e-1	1.000000e+0	1.000000e+0	3.651327e+0	2.738730e-1	1	292	6.250000e-2	3.424658e-3	DMR_10,DMR_34	kcnj13
GO Molecular Function	GO:0022839	ion gated channel activity	19	5.420728e-2	1.000000e+0	1.000000e+0	5.200154e+0	3.846040e-1	2	3.846040e-2	2.000000e-1	34	2.179573e-1	1.000000e+0	1.000000e+0	4.100721e+0	2.438595e-1	1	260	6.250000e-2	3.846154e-3	DMR_10,DMR_34	kcnj13
GO Molecular Function	GO:0022836	gated channel activity	20	5.476659e-2	1.000000e+0	1.000000e+0	5.170483e+0	3.868110e-1	2	3.868110e-2	2.000000e-1	35	2.194463e-1	1.000000e+0	1.000000e+0	4.069418e+0	2.457354e-1	1	262	6.250000e-2	3.816794e-3	DMR_10,DMR_34	kcnj13
GO Molecular Function	GO:0004888	transmembrane signaling receptor activity	21	5.501009e-2	1.000000e+0	1.000000e+0	3.309768e+0	9.064078e-1	3	9.064078e-2	3.000000e-1	33	2.113764e-1	1.000000e+0	1.000000e+0	2.325382e+0	8.600739e-1	2	917	1.250000e-1	2.181025e-3	DMR_10,DMR_3,DMR_34	cntfr,mtnr1ba
GO Molecular Function	GO:0004896	cytokine receptor activity	22	5.763326e-2	1.000000e+0	1.000000e+0	1.689620e+1	5.918492e-2	1	5.918492e-3	1.000000e-1	12	4.679638e-2	1.000000e+0	1.000000e+0	2.090564e+1	4.783399e-2	1	51	6.250000e-2	1.960784e-2	DMR_3	cntfr
GO Molecular Function	GO:0005216	ion channel activity	23	6.846043e-2	1.000000e+0	1.000000e+0	4.561150e+0	4.384859e-1	2	4.384859e-2	2.000000e-1	39	2.515402e-1	1.000000e+0	1.000000e+0	3.484273e+0	2.870039e-1	1	306	6.250000e-2	3.267974e-3	DMR_10,DMR_34	kcnj13
