# GREAT version 3.0.0	Species assembly: danRer7	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Biological Process	GO:0043631	RNA polyadenylation	1	1.738201e-4	7.069263e-1	7.069263e-1	1.043956e+2	1.915790e-2	2	7.982458e-4	8.333333e-2	14	2.246379e-2	1.000000e+0	1.000000e+0	4.408010e+1	2.268597e-2	1	9	2.325581e-2	1.111111e-1	DMR_23,DMR_24	papd4
GO Biological Process	GO:0031123	RNA 3'-end processing	2	3.669041e-4	1.000000e+0	7.460995e-1	7.166315e+1	2.790835e-2	2	1.162848e-3	8.333333e-2	26	3.959415e-2	1.000000e+0	1.000000e+0	2.479506e+1	4.033062e-2	1	16	2.325581e-2	6.250000e-2	DMR_23,DMR_24	papd4
GO Biological Process	GO:0046712	GDP catabolic process	3	1.138781e-3	1.000000e+0	1.000000e+0	8.776528e+2	1.139403e-3	1	4.747512e-5	4.166667e-2	1	2.520664e-3	1.000000e+0	1.000000e+0	3.967209e+2	2.520664e-3	1	1	2.325581e-2	1.000000e+0	DMR_33	nudt18
GO Biological Process	GO:0046057	dADP catabolic process	3	1.138781e-3	1.000000e+0	1.000000e+0	8.776528e+2	1.139403e-3	1	4.747512e-5	4.166667e-2	1	2.520664e-3	1.000000e+0	1.000000e+0	3.967209e+2	2.520664e-3	1	1	2.325581e-2	1.000000e+0	DMR_33	nudt18
GO Biological Process	GO:0046067	dGDP catabolic process	3	1.138781e-3	1.000000e+0	1.000000e+0	8.776528e+2	1.139403e-3	1	4.747512e-5	4.166667e-2	1	2.520664e-3	1.000000e+0	1.000000e+0	3.967209e+2	2.520664e-3	1	1	2.325581e-2	1.000000e+0	DMR_33	nudt18
GO Biological Process	GO:0070098	chemokine-mediated signaling pathway	6	1.775339e-3	1.000000e+0	1.000000e+0	5.627933e+2	1.776851e-3	1	7.403548e-5	4.166667e-2	1	2.520664e-3	1.000000e+0	1.000000e+0	3.967209e+2	2.520664e-3	1	1	2.325581e-2	1.000000e+0	DMR_30	cxcr7b
GO Biological Process	GO:0009264	deoxyribonucleotide catabolic process	7	1.983084e-3	1.000000e+0	1.000000e+0	5.037858e+2	1.984970e-3	1	8.270710e-5	4.166667e-2	6	5.035121e-3	1.000000e+0	1.000000e+0	1.983605e+2	5.041327e-3	1	2	2.325581e-2	5.000000e-1	DMR_33	nudt18
GO Biological Process	GO:0042407	cristae formation	8	1.085459e-2	1.000000e+0	1.000000e+0	9.164687e+1	1.091145e-2	1	4.546436e-4	4.166667e-2	1	2.520664e-3	1.000000e+0	1.000000e+0	3.967209e+2	2.520664e-3	1	1	2.325581e-2	1.000000e+0	DMR_18	chchd6a
GO Biological Process	GO:0007007	inner mitochondrial membrane organization	9	1.355775e-2	1.000000e+0	1.000000e+0	7.327824e+1	1.364662e-2	1	5.686090e-4	4.166667e-2	6	5.035121e-3	1.000000e+0	1.000000e+0	1.983605e+2	5.041327e-3	1	2	2.325581e-2	5.000000e-1	DMR_18	chchd6a
GO Biological Process	GO:0016051	carbohydrate biosynthetic process	10	1.458050e-2	1.000000e+0	1.000000e+0	1.083944e+1	1.845114e-1	2	7.687975e-3	8.333333e-2	8	7.317242e-3	1.000000e+0	1.000000e+0	1.555768e+1	1.285538e-1	2	51	4.651163e-2	3.921569e-2	DMR_18,DMR_32	chst13,pc
GO Biological Process	GO:0007006	mitochondrial membrane organization	11	1.737385e-2	1.000000e+0	1.000000e+0	5.707714e+1	1.752015e-2	1	7.300063e-4	4.166667e-2	9	1.254140e-2	1.000000e+0	1.000000e+0	7.934419e+1	1.260332e-2	1	5	2.325581e-2	2.000000e-1	DMR_18	chchd6a
GO Biological Process	GO:0019221	cytokine-mediated signaling pathway	12	1.864084e-2	1.000000e+0	1.000000e+0	5.316491e+1	1.880940e-2	1	7.837249e-4	4.166667e-2	21	2.984161e-2	1.000000e+0	1.000000e+0	3.306008e+1	3.024796e-2	1	12	2.325581e-2	8.333333e-2	DMR_30	cxcr7b
GO Biological Process	GO:0009186	deoxyribonucleoside diphosphate metabolic process	13	1.990428e-2	1.000000e+0	1.000000e+0	4.975961e+1	2.009662e-2	1	8.373592e-4	4.166667e-2	11	1.503118e-2	1.000000e+0	1.000000e+0	6.612016e+1	1.512398e-2	1	6	2.325581e-2	1.666667e-1	DMR_33	nudt18
GO Biological Process	GO:0009394	2'-deoxyribonucleotide metabolic process	14	2.019903e-2	1.000000e+0	1.000000e+0	4.902646e+1	2.039715e-2	1	8.498811e-4	4.166667e-2	9	1.254140e-2	1.000000e+0	1.000000e+0	7.934419e+1	1.260332e-2	1	5	2.325581e-2	2.000000e-1	DMR_33	nudt18
GO Biological Process	GO:0009262	deoxyribonucleotide metabolic process	15	2.177936e-2	1.000000e+0	1.000000e+0	4.543402e+1	2.200994e-2	1	9.170807e-4	4.166667e-2	12	1.751483e-2	1.000000e+0	1.000000e+0	5.667442e+1	1.764465e-2	1	7	2.325581e-2	1.428571e-1	DMR_33	nudt18
