# GREAT version 3.0.0	Species assembly: danRer7	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Biological Process	GO:0015672	monovalent inorganic cation transport	1	1.177835e-5	4.790255e-2	4.790255e-2	1.482297e+1	3.373143e-1	5	2.810953e-2	4.166667e-1	1	2.595100e-4	1.000000e+0	1.000000e+0	1.250660e+1	3.198312e-1	4	248	1.818182e-1	1.612903e-2	DMR_14,DMR_23,DMR_82,DMR_83,DMR_84	atp1a1b,atp5g3a,kcnj13,nnt
GO Biological Process	GO:0051876	pigment granule dispersal	2	2.669599e-5	1.085726e-1	5.428630e-2	2.615021e+2	7.648124e-3	2	6.373436e-4	1.666667e-1	10	2.577696e-3	1.000000e+0	1.000000e+0	3.877045e+2	2.579284e-3	1	2	4.545455e-2	5.000000e-1	DMR_14,DMR_82	kcnj13
GO Biological Process	GO:0051877	pigment granule aggregation in cell center	3	8.223477e-5	3.344488e-1	1.114829e-1	1.487548e+2	1.344494e-2	2	1.120412e-3	1.666667e-1	27	1.027278e-2	1.000000e+0	1.000000e+0	9.692614e+1	1.031713e-2	1	8	4.545455e-2	1.250000e-1	DMR_14,DMR_82	kcnj13
GO Biological Process	GO:0006812	cation transport	4	1.704978e-4	6.934146e-1	1.733536e-1	8.469022e+0	5.903870e-1	5	4.919891e-2	4.166667e-1	8	2.048114e-3	1.000000e+0	1.000000e+0	7.196372e+0	5.558356e-1	4	431	1.818182e-1	9.280742e-3	DMR_14,DMR_23,DMR_82,DMR_83,DMR_84	atp1a1b,atp5g3a,kcnj13,nnt
GO Biological Process	GO:0006754	ATP biosynthetic process	5	2.577436e-4	1.000000e+0	2.096486e-1	8.378132e+1	2.387167e-2	2	1.989306e-3	1.666667e-1	2	6.311362e-4	1.000000e+0	1.000000e+0	5.347649e+1	3.739961e-2	2	29	9.090909e-2	6.896552e-2	DMR_83,DMR_84	atp1a1b,atp5g3a
GO Biological Process	GO:0051905	establishment of pigment granule localization	6	3.267066e-4	1.000000e+0	2.214526e-1	7.435275e+1	2.689880e-2	2	2.241567e-3	1.666667e-1	44	2.675153e-2	1.000000e+0	1.000000e+0	3.692424e+1	2.708248e-2	1	21	4.545455e-2	4.761905e-2	DMR_14,DMR_82	kcnj13
GO Biological Process	GO:0051875	pigment granule localization	7	3.856058e-4	1.000000e+0	2.240370e-1	6.839457e+1	2.924209e-2	2	2.436841e-3	1.666667e-1	50	3.051695e-2	1.000000e+0	1.000000e+0	3.230871e+1	3.095140e-2	1	24	4.545455e-2	4.166667e-2	DMR_14,DMR_82	kcnj13
GO Biological Process	GO:0033059	cellular pigmentation	8	4.430749e-4	1.000000e+0	2.252482e-1	6.376743e+1	3.136397e-2	2	2.613664e-3	1.666667e-1	57	3.551589e-2	1.000000e+0	1.000000e+0	2.769318e+1	3.610997e-2	1	28	4.545455e-2	3.571429e-2	DMR_14,DMR_82	kcnj13
GO Biological Process	GO:0009206	purine ribonucleoside triphosphate biosynthetic process	9	5.883755e-4	1.000000e+0	2.658804e-1	5.526218e+1	3.619112e-2	2	3.015926e-3	1.666667e-1	3	1.085178e-3	1.000000e+0	1.000000e+0	4.081100e+1	4.900639e-2	2	38	9.090909e-2	5.263158e-2	DMR_83,DMR_84	atp1a1b,atp5g3a
GO Biological Process	GO:0015992	proton transport	10	6.064634e-4	1.000000e+0	2.466487e-1	5.442341e+1	3.674889e-2	2	3.062408e-3	1.666667e-1	9	2.102387e-3	1.000000e+0	9.500453e-1	2.926072e+1	6.835102e-2	2	53	9.090909e-2	3.773585e-2	DMR_23,DMR_83	atp5g3a,nnt
GO Biological Process	GO:0051650	establishment of vesicle localization	11	6.481946e-4	1.000000e+0	2.396552e-1	5.262399e+1	3.800548e-2	2	3.167123e-3	1.666667e-1	59	3.800612e-2	1.000000e+0	1.000000e+0	2.584697e+1	3.868925e-2	1	30	4.545455e-2	3.333333e-2	DMR_14,DMR_82	kcnj13
