# GREAT version 3.0.0	Species assembly: danRer7	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Molecular Function	GO:0015077	monovalent inorganic cation transmembrane transporter activity	1	2.478695e-5	4.479002e-2	4.479002e-2	1.270220e+1	3.936326e-1	5	3.280272e-2	4.166667e-1	1	4.638244e-4	8.381307e-1	8.381307e-1	1.073231e+1	3.727065e-1	4	289	1.818182e-1	1.384083e-2	DMR_14,DMR_38,DMR_82,DMR_83,DMR_84	atp1a1b,atp5g3a,kcnj13,slc6a1l
GO Molecular Function	GO:0022890	inorganic cation transmembrane transporter activity	2	1.098110e-4	1.984285e-1	9.921424e-2	9.296965e+0	5.378099e-1	5	4.481749e-2	4.166667e-1	2	1.289906e-3	1.000000e+0	1.000000e+0	8.162201e+0	4.900639e-1	4	380	1.818182e-1	1.052632e-2	DMR_14,DMR_38,DMR_82,DMR_83,DMR_84	atp1a1b,atp5g3a,kcnj13,slc6a1l
GO Molecular Function	GO:0008502	melatonin receptor activity	3	1.924432e-4	3.477449e-1	1.159150e-1	9.704729e+1	2.060851e-2	2	1.717376e-3	1.666667e-1	13	7.714073e-3	1.000000e+0	1.000000e+0	1.292348e+2	7.737851e-3	1	6	4.545455e-2	1.666667e-1	DMR_14,DMR_82	mtnr1ba
GO Molecular Function	GO:0008324	cation transmembrane transporter activity	4	2.521253e-4	4.555904e-1	1.138976e-1	7.791244e+0	6.417460e-1	5	5.347884e-2	4.166667e-1	3	2.636285e-3	1.000000e+0	1.000000e+0	6.713499e+0	5.958145e-1	4	462	1.818182e-1	8.658009e-3	DMR_14,DMR_38,DMR_82,DMR_83,DMR_84	atp1a1b,atp5g3a,kcnj13,slc6a1l
GO Molecular Function	GO:0005242	inward rectifier potassium channel activity	5	4.916317e-4	8.883785e-1	1.776757e-1	6.050814e+1	3.305341e-2	2	2.754451e-3	1.666667e-1	24	2.800822e-2	1.000000e+0	1.000000e+0	3.524587e+1	2.837212e-2	1	22	4.545455e-2	4.545455e-2	DMR_14,DMR_82	kcnj13
GO Molecular Function	GO:0015075	ion transmembrane transporter activity	6	1.162753e-3	1.000000e+0	3.501824e-1	5.593792e+0	8.938481e-1	5	7.448734e-2	4.166667e-1	12	7.292709e-3	1.000000e+0	1.000000e+0	5.043311e+0	7.931297e-1	4	615	1.818182e-1	6.504065e-3	DMR_14,DMR_38,DMR_82,DMR_83,DMR_84	atp1a1b,atp5g3a,kcnj13,slc6a1l
GO Molecular Function	GO:0022891	substrate-specific transmembrane transporter activity	7	1.432865e-3	1.000000e+0	3.698839e-1	5.341777e+0	9.360181e-1	5	7.800151e-2	4.166667e-1	15	9.027251e-3	1.000000e+0	1.000000e+0	4.742563e+0	8.434258e-1	4	654	1.818182e-1	6.116208e-3	DMR_14,DMR_38,DMR_82,DMR_83,DMR_84	atp1a1b,atp5g3a,kcnj13,slc6a1l
GO Molecular Function	GO:0003865	3-oxo-5-alpha-steroid 4-dehydrogenase activity	8	1.579794e-3	1.000000e+0	3.568360e-1	6.325356e+2	1.580939e-3	1	1.317449e-4	8.333333e-2	8	5.149049e-3	1.000000e+0	1.000000e+0	1.938523e+2	5.158567e-3	1	4	4.545455e-2	2.500000e-1	DMR_2	srd5a2a
GO Molecular Function	GO:0022857	transmembrane transporter activity	9	2.074361e-3	1.000000e+0	4.164856e-1	4.920009e+0	1.016258e+0	5	8.468819e-2	4.166667e-1	17	1.339434e-2	1.000000e+0	1.000000e+0	4.225663e+0	9.465971e-1	4	734	1.818182e-1	5.449591e-3	DMR_14,DMR_38,DMR_82,DMR_83,DMR_84	atp1a1b,atp5g3a,kcnj13,slc6a1l
GO Molecular Function	GO:0022892	substrate-specific transporter activity	10	2.111981e-3	1.000000e+0	3.816350e-1	4.900289e+0	1.020348e+0	5	8.502901e-2	4.166667e-1	16	1.302715e-2	1.000000e+0	1.000000e+0	4.260490e+0	9.388593e-1	4	728	1.818182e-1	5.494505e-3	DMR_14,DMR_38,DMR_82,DMR_83,DMR_84	atp1a1b,atp5g3a,kcnj13,slc6a1l
GO Molecular Function	GO:0008750	NAD(P)+ transhydrogenase (AB-specific) activity	11	2.454282e-3	1.000000e+0	4.031716e-1	4.069926e+2	2.457047e-3	1	2.047540e-4	8.333333e-2	4	3.864164e-3	1.000000e+0	1.000000e+0	2.584697e+2	3.868925e-3	1	3	4.545455e-2	3.333333e-1	DMR_23	nnt
GO Molecular Function	GO:0005215	transporter activity	12	5.002184e-3	1.000000e+0	7.532455e-1	4.030990e+0	1.240390e+0	5	1.033658e-1	4.166667e-1	25	2.947104e-2	1.000000e+0	1.000000e+0	3.327936e+0	1.201946e+0	4	932	1.818182e-1	4.291845e-3	DMR_14,DMR_38,DMR_82,DMR_83,DMR_84	atp1a1b,atp5g3a,kcnj13,slc6a1l
GO Molecular Function	GO:0005249	voltage-gated potassium channel activity	13	8.065855e-3	1.000000e+0	1.000000e+0	1.451031e+1	1.378330e-1	2	1.148608e-2	1.666667e-1	51	1.064521e-1	1.000000e+0	1.000000e+0	8.912748e+0	1.121988e-1	1	87	4.545455e-2	1.149425e-2	DMR_14,DMR_82	kcnj13
GO Molecular Function	GO:0046873	metal ion transmembrane transporter activity	14	8.987796e-3	1.000000e+0	1.000000e+0	6.668024e+0	4.499084e-1	3	3.749237e-2	2.500000e-1	36	5.386755e-2	1.000000e+0	1.000000e+0	5.311021e+0	3.765754e-1	2	292	9.090909e-2	6.849315e-3	DMR_14,DMR_38,DMR_82	kcnj13,slc6a1l
GO Molecular Function	GO:0005332	gamma-aminobutyric acid:sodium symporter activity	15	9.250208e-3	1.000000e+0	1.000000e+0	1.076466e+2	9.289659e-3	1	7.741383e-4	8.333333e-2	4	3.864164e-3	1.000000e+0	1.000000e+0	2.584697e+2	3.868925e-3	1	3	4.545455e-2	3.333333e-1	DMR_38	slc6a1l
