# GREAT version 3.0.0	Species assembly: danRer7	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Biological Process	GO:0043631	RNA polyadenylation	1	1.526457e-3	1.000000e+0	1.000000e+0	3.528865e+1	5.667545e-2	2	7.982458e-4	2.816901e-2	35	4.599720e-2	1.000000e+0	1.000000e+0	2.129713e+1	4.695469e-2	1	9	1.123596e-2	1.111111e-1	DMR_41,DMR_42	papd4
GO Biological Process	GO:0016226	iron-sulfur cluster assembly	2	2.317179e-3	1.000000e+0	1.000000e+0	2.851759e+1	7.013214e-2	2	9.877767e-4	2.816901e-2	42	5.593117e-2	1.000000e+0	1.000000e+0	1.742492e+1	5.738906e-2	1	11	1.123596e-2	9.090909e-2	DMR_20,DMR_21	glrx5
GO Biological Process	GO:0016338	calcium-independent cell-cell adhesion	3	3.007129e-3	1.000000e+0	1.000000e+0	3.320499e+2	3.011596e-3	1	4.241684e-5	1.408451e-2	9	1.557096e-2	1.000000e+0	1.000000e+0	6.389139e+1	1.565156e-2	1	3	1.123596e-2	3.333333e-1	DMR_24	cldnd
GO Biological Process	GO:0031123	RNA 3'-end processing	4	3.185732e-3	1.000000e+0	1.000000e+0	2.422416e+1	8.256219e-2	2	1.162848e-3	2.816901e-2	58	8.032086e-2	1.000000e+0	1.000000e+0	1.197963e+1	8.347500e-2	1	16	1.123596e-2	6.250000e-2	DMR_41,DMR_42	papd4
GO Biological Process	GO:0006094	gluconeogenesis	5	4.842559e-3	1.000000e+0	1.000000e+0	1.952257e+1	1.024455e-1	2	1.442895e-3	2.816901e-2	35	4.599720e-2	1.000000e+0	1.000000e+0	2.129713e+1	4.695469e-2	1	9	1.123596e-2	1.111111e-1	DMR_76,DMR_77	pc
GO Biological Process	GO:0019319	hexose biosynthetic process	6	4.965831e-3	1.000000e+0	1.000000e+0	1.927042e+1	1.037860e-1	2	1.461775e-3	2.816901e-2	40	5.097704e-2	1.000000e+0	1.000000e+0	1.916742e+1	5.217187e-2	1	10	1.123596e-2	1.000000e-1	DMR_76,DMR_77	pc
GO Biological Process	GO:0046364	monosaccharide biosynthetic process	7	5.104628e-3	1.000000e+0	1.000000e+0	1.899752e+1	1.052769e-1	2	1.482773e-3	2.816901e-2	42	5.593117e-2	1.000000e+0	1.000000e+0	1.742492e+1	5.738906e-2	1	11	1.123596e-2	9.090909e-2	DMR_76,DMR_77	pc
GO Biological Process	GO:0046686	response to cadmium ion	8	5.690055e-3	1.000000e+0	1.000000e+0	1.795852e+1	1.113678e-1	2	1.568560e-3	2.816901e-2	52	7.064066e-2	1.000000e+0	1.000000e+0	1.369101e+1	7.304062e-2	1	14	1.123596e-2	7.142857e-2	DMR_76,DMR_77	pc
GO Biological Process	GO:0006939	smooth muscle contraction	9	5.704325e-3	1.000000e+0	1.000000e+0	1.793521e+1	1.115125e-1	2	1.570599e-3	2.816901e-2	35	4.599720e-2	1.000000e+0	1.000000e+0	2.129713e+1	4.695469e-2	1	9	1.123596e-2	1.111111e-1	DMR_20,DMR_21	si:dkey-63b1.1
GO Biological Process	GO:0042310	vasoconstriction	10	7.793407e-3	1.000000e+0	1.000000e+0	1.524767e+1	1.311676e-1	2	1.847430e-3	2.816901e-2	45	6.085973e-2	1.000000e+0	1.000000e+0	1.597285e+1	6.260625e-2	1	12	1.123596e-2	8.333333e-2	DMR_20,DMR_21	si:dkey-63b1.1
GO Biological Process	GO:0006936	muscle contraction	11	1.991695e-2	1.000000e+0	1.000000e+0	9.284325e+0	2.154168e-1	2	3.034040e-3	2.816901e-2	76	1.134230e-1	1.000000e+0	1.000000e+0	8.333659e+0	1.199953e-1	1	23	1.123596e-2	4.347826e-2	DMR_20,DMR_21	si:dkey-63b1.1
GO Biological Process	GO:0050880	regulation of blood vessel size	12	2.062042e-2	1.000000e+0	1.000000e+0	9.112792e+0	2.194717e-1	2	3.091151e-3	2.816901e-2	74	1.087672e-1	1.000000e+0	1.000000e+0	8.712462e+0	1.147781e-1	1	22	1.123596e-2	4.545455e-2	DMR_20,DMR_21	si:dkey-63b1.1
GO Biological Process	GO:0001732	formation of translation initiation complex	13	2.350157e-2	1.000000e+0	1.000000e+0	4.205541e+1	2.377815e-2	1	3.349035e-4	1.408451e-2	2	5.217187e-3	1.000000e+0	1.000000e+0	1.916742e+2	5.217187e-3	1	1	1.123596e-2	1.000000e+0	DMR_8	eif3s10
GO Biological Process	GO:0043087	regulation of GTPase activity	14	2.379546e-2	1.000000e+0	1.000000e+0	3.676727e+0	1.087924e+0	4	1.532287e-2	5.633803e-2	15	1.845477e-2	1.000000e+0	1.000000e+0	5.374042e+0	5.582391e-1	3	107	3.370787e-2	2.803738e-2	DMR_19,DMR_36,DMR_37,DMR_4	iqsec3a,tbc1d5,tsc2
GO Biological Process	GO:0009118	regulation of nucleoside metabolic process	15	2.389994e-2	1.000000e+0	1.000000e+0	3.671695e+0	1.089415e+0	4	1.534387e-2	5.633803e-2	16	1.891191e-2	1.000000e+0	1.000000e+0	5.324282e+0	5.634562e-1	3	108	3.370787e-2	2.777778e-2	DMR_19,DMR_36,DMR_37,DMR_4	iqsec3a,tbc1d5,tsc2
GO Biological Process	GO:0033121	regulation of purine nucleotide catabolic process	15	2.389994e-2	1.000000e+0	1.000000e+0	3.671695e+0	1.089415e+0	4	1.534387e-2	5.633803e-2	16	1.891191e-2	1.000000e+0	1.000000e+0	5.324282e+0	5.634562e-1	3	108	3.370787e-2	2.777778e-2	DMR_19,DMR_36,DMR_37,DMR_4	iqsec3a,tbc1d5,tsc2
