# GREAT version 3.0.0	Species assembly: danRer7	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Molecular Function	GO:0043167	ion binding	1	1.493038e-6	2.697920e-3	2.697920e-3	1.558217e+0	3.529675e+1	55	4.971373e-1	7.746479e-1	1	1.043463e-4	1.885538e-1	1.885538e-1	1.621609e+0	2.775022e+1	45	5319	5.056180e-1	8.460237e-3	DMR_10,DMR_11,DMR_13,DMR_15,DMR_17,DMR_18,DMR_20,DMR_21,DMR_22,DMR_25,DMR_26,DMR_27,DMR_31,DMR_32,DMR_33,DMR_4,DMR_40,DMR_41,DMR_42,DMR_43,DMR_45,DMR_46,DMR_47,DMR_48,DMR_51,DMR_52,DMR_53,DMR_55,DMR_56,DMR_57,DMR_58,DMR_59,DMR_6,DMR_60,DMR_61,DMR_62,DMR_63,DMR_64,DMR_65,DMR_66,DMR_67,DMR_68,DMR_69,DMR_7,DMR_72,DMR_73,DMR_74,DMR_75,DMR_76,DMR_77,DMR_78,DMR_79,DMR_80,DMR_85,DMR_9	acox1,cpn1,cygb2,dync1li1,esrra,fabp10a,glrx5,gpc3,gpc4,hipk2,kif21a,lhx1b,neurl1b,p2rx8,papd4,pc,pcdh10b,pcdh18b,pcdh7b,rab35,rhoad,sept9b,si:ch211-202h22.10,si:ch211-207e19.2,si:dkey-16b10.1,si:dkey-16b10.2,si:dkey-247i3.1,si:dkey-42l16.1,si:dkey-45d16.8,si:dkey-4c15.4,si:dkey-51d8.6,si:dkey-51d8.7,si:dkey-77p23.2,si:dkey-78o7.1,si:dkey-84h14.2,si:dkey-8o9.2,si:dkeyp-116h7.3,smpd4,tek,tns1,trim35-21,trim35-25,zgc:162948,zgc:171318,zgc:173702
GO Molecular Function	GO:0003676	nucleic acid binding	2	4.937238e-6	8.921589e-3	4.460795e-3	1.916776e+0	1.982496e+1	38	2.792248e-1	5.352113e-1	12	8.869245e-3	1.000000e+0	1.000000e+0	1.626655e+0	1.475421e+1	24	2828	2.696629e-1	8.486563e-3	DMR_15,DMR_19,DMR_25,DMR_26,DMR_34,DMR_35,DMR_4,DMR_40,DMR_43,DMR_45,DMR_46,DMR_47,DMR_48,DMR_51,DMR_52,DMR_53,DMR_54,DMR_55,DMR_56,DMR_57,DMR_58,DMR_59,DMR_60,DMR_61,DMR_62,DMR_63,DMR_64,DMR_65,DMR_66,DMR_67,DMR_68,DMR_70,DMR_72,DMR_75,DMR_76,DMR_77,DMR_8,DMR_81	eif3s10,esrra,hipk2,lhx1b,mrm1,ncor2,pc,rbm17,satb1a,si:ch211-202h22.10,si:dkey-10p5.9,si:dkey-16b10.1,si:dkey-16b10.2,si:dkey-247i3.1,si:dkey-4c15.4,si:dkey-51d8.6,si:dkey-51d8.7,si:dkey-56d12.4,si:dkey-77p23.2,si:dkey-78o7.1,zgc:123060,zgc:162948,zgc:171318,zgc:173702
GO Molecular Function	GO:0046872	metal ion binding	3	5.792438e-6	1.046694e-2	3.488978e-3	1.789114e+0	2.347530e+1	42	3.306381e-1	5.915493e-1	8	4.174494e-3	1.000000e+0	9.429138e-1	1.629783e+0	1.718020e+1	28	3293	3.146067e-1	8.502885e-3	DMR_11,DMR_20,DMR_21,DMR_22,DMR_25,DMR_26,DMR_32,DMR_33,DMR_4,DMR_40,DMR_41,DMR_42,DMR_43,DMR_45,DMR_46,DMR_47,DMR_48,DMR_51,DMR_52,DMR_53,DMR_55,DMR_56,DMR_57,DMR_58,DMR_59,DMR_6,DMR_60,DMR_61,DMR_62,DMR_63,DMR_64,DMR_65,DMR_66,DMR_67,DMR_68,DMR_72,DMR_74,DMR_76,DMR_77,DMR_78,DMR_85,DMR_9	cpn1,cygb2,esrra,glrx5,lhx1b,neurl1b,papd4,pc,pcdh10b,pcdh18b,pcdh7b,si:ch211-202h22.10,si:dkey-16b10.1,si:dkey-16b10.2,si:dkey-247i3.1,si:dkey-4c15.4,si:dkey-51d8.6,si:dkey-51d8.7,si:dkey-77p23.2,si:dkey-78o7.1,si:dkeyp-116h7.3,smpd4,tns1,trim35-21,trim35-25,zgc:162948,zgc:171318,zgc:173702
GO Molecular Function	GO:0043169	cation binding	4	7.360735e-6	1.330085e-2	3.325212e-3	1.774022e+0	2.367502e+1	42	3.334510e-1	5.915493e-1	9	4.498783e-3	1.000000e+0	9.032557e-1	1.621413e+0	1.726889e+1	28	3310	3.146067e-1	8.459215e-3	DMR_11,DMR_20,DMR_21,DMR_22,DMR_25,DMR_26,DMR_32,DMR_33,DMR_4,DMR_40,DMR_41,DMR_42,DMR_43,DMR_45,DMR_46,DMR_47,DMR_48,DMR_51,DMR_52,DMR_53,DMR_55,DMR_56,DMR_57,DMR_58,DMR_59,DMR_6,DMR_60,DMR_61,DMR_62,DMR_63,DMR_64,DMR_65,DMR_66,DMR_67,DMR_68,DMR_72,DMR_74,DMR_76,DMR_77,DMR_78,DMR_85,DMR_9	cpn1,cygb2,esrra,glrx5,lhx1b,neurl1b,papd4,pc,pcdh10b,pcdh18b,pcdh7b,si:ch211-202h22.10,si:dkey-16b10.1,si:dkey-16b10.2,si:dkey-247i3.1,si:dkey-4c15.4,si:dkey-51d8.6,si:dkey-51d8.7,si:dkey-77p23.2,si:dkey-78o7.1,si:dkeyp-116h7.3,smpd4,tns1,trim35-21,trim35-25,zgc:162948,zgc:171318,zgc:173702
GO Molecular Function	GO:0097159	organic cyclic compound binding	5	1.069810e-5	1.933147e-2	3.866293e-3	1.555160e+0	3.279404e+1	51	4.618880e-1	7.183099e-1	4	1.054244e-3	1.000000e+0	4.762547e-1	1.544825e+0	2.589290e+1	40	4963	4.494382e-1	8.059641e-3	DMR_13,DMR_15,DMR_17,DMR_18,DMR_19,DMR_25,DMR_26,DMR_27,DMR_31,DMR_34,DMR_35,DMR_4,DMR_40,DMR_41,DMR_42,DMR_43,DMR_45,DMR_46,DMR_47,DMR_48,DMR_51,DMR_52,DMR_53,DMR_54,DMR_55,DMR_56,DMR_57,DMR_58,DMR_59,DMR_60,DMR_61,DMR_62,DMR_63,DMR_64,DMR_65,DMR_66,DMR_67,DMR_68,DMR_69,DMR_7,DMR_70,DMR_72,DMR_73,DMR_74,DMR_75,DMR_76,DMR_77,DMR_79,DMR_8,DMR_80,DMR_81	acox1,cygb2,dync1li1,eif3s10,esrra,fabp10a,hipk2,kif21a,lhx1b,mrm1,ncor2,p2rx8,papd4,pc,rab35,rbm17,rhoad,satb1a,sept9b,si:ch211-202h22.10,si:ch211-207e19.2,si:dkey-10p5.9,si:dkey-16b10.1,si:dkey-16b10.2,si:dkey-247i3.1,si:dkey-42l16.1,si:dkey-45d16.8,si:dkey-4c15.4,si:dkey-51d8.6,si:dkey-51d8.7,si:dkey-56d12.4,si:dkey-77p23.2,si:dkey-78o7.1,si:dkey-84h14.2,si:dkey-8o9.2,tek,zgc:123060,zgc:162948,zgc:171318,zgc:173702
GO Molecular Function	GO:0005488	binding	6	1.677518e-5	3.031275e-2	5.052125e-3	1.297622e+0	5.009164e+1	65	7.055161e-1	9.154930e-1	5	1.576075e-3	1.000000e+0	5.695935e-1	1.327574e+0	4.368873e+1	58	8374	6.516854e-1	6.926200e-3	DMR_10,DMR_11,DMR_13,DMR_15,DMR_17,DMR_18,DMR_19,DMR_20,DMR_21,DMR_22,DMR_24,DMR_25,DMR_26,DMR_27,DMR_29,DMR_3,DMR_31,DMR_32,DMR_33,DMR_34,DMR_35,DMR_4,DMR_40,DMR_41,DMR_42,DMR_43,DMR_45,DMR_46,DMR_47,DMR_48,DMR_51,DMR_52,DMR_53,DMR_54,DMR_55,DMR_56,DMR_57,DMR_58,DMR_59,DMR_6,DMR_60,DMR_61,DMR_62,DMR_63,DMR_64,DMR_65,DMR_66,DMR_67,DMR_68,DMR_69,DMR_7,DMR_70,DMR_72,DMR_73,DMR_74,DMR_75,DMR_76,DMR_77,DMR_78,DMR_79,DMR_8,DMR_80,DMR_81,DMR_85,DMR_9	acox1,cldnd,cpn1,cygb2,dync1li1,eif3s10,esrra,fabp10a,glrx5,gpc3,gpc4,hipk2,igfbp5b,il15,kif21a,lhx1b,lzts2a,mrm1,ncor2,neurl1b,p2rx8,papd4,pc,pcdh10b,pcdh18b,pcdh7b,rab35,rbm17,rhoad,satb1a,sept9b,si:ch211-202h22.10,si:ch211-207e19.2,si:dkey-10p5.9,si:dkey-16b10.1,si:dkey-16b10.2,si:dkey-247i3.1,si:dkey-42l16.1,si:dkey-45d16.8,si:dkey-4c15.4,si:dkey-51d8.6,si:dkey-51d8.7,si:dkey-56d12.4,si:dkey-77p23.2,si:dkey-78o7.1,si:dkey-84h14.2,si:dkey-8o9.2,si:dkeyp-116h7.3,smpd4,tek,tns1,trim35-21,trim35-25,zgc:123060,zgc:123339,zgc:162948,zgc:171318,zgc:173702
GO Molecular Function	GO:1901363	heterocyclic compound binding	7	2.795441e-5	5.051362e-2	7.216231e-3	1.529872e+0	3.268248e+1	50	4.603167e-1	7.042254e-1	6	2.012261e-3	1.000000e+0	6.060259e-1	1.511076e+0	2.580943e+1	39	4947	4.382022e-1	7.883566e-3	DMR_13,DMR_15,DMR_17,DMR_18,DMR_19,DMR_25,DMR_26,DMR_27,DMR_31,DMR_34,DMR_35,DMR_4,DMR_40,DMR_41,DMR_42,DMR_43,DMR_45,DMR_46,DMR_47,DMR_48,DMR_51,DMR_52,DMR_53,DMR_54,DMR_55,DMR_56,DMR_57,DMR_58,DMR_59,DMR_60,DMR_61,DMR_62,DMR_63,DMR_64,DMR_65,DMR_66,DMR_67,DMR_68,DMR_69,DMR_70,DMR_72,DMR_73,DMR_74,DMR_75,DMR_76,DMR_77,DMR_79,DMR_8,DMR_80,DMR_81	acox1,cygb2,dync1li1,eif3s10,esrra,hipk2,kif21a,lhx1b,mrm1,ncor2,p2rx8,papd4,pc,rab35,rbm17,rhoad,satb1a,sept9b,si:ch211-202h22.10,si:ch211-207e19.2,si:dkey-10p5.9,si:dkey-16b10.1,si:dkey-16b10.2,si:dkey-247i3.1,si:dkey-42l16.1,si:dkey-45d16.8,si:dkey-4c15.4,si:dkey-51d8.6,si:dkey-51d8.7,si:dkey-56d12.4,si:dkey-77p23.2,si:dkey-78o7.1,si:dkey-84h14.2,si:dkey-8o9.2,tek,zgc:123060,zgc:162948,zgc:171318,zgc:173702
GO Molecular Function	GO:0004947	bradykinin receptor activity	8	4.629387e-4	8.365302e-1	1.045663e-1	6.461348e+1	3.095329e-2	2	4.359619e-4	2.816901e-2	13	1.040746e-2	1.000000e+0	1.000000e+0	9.583708e+1	1.043437e-2	1	2	1.123596e-2	5.000000e-1	DMR_20,DMR_21	si:dkey-63b1.1
GO Molecular Function	GO:0004652	polynucleotide adenylyltransferase activity	9	9.281582e-4	1.000000e+0	1.863535e-1	4.544031e+1	4.401378e-2	2	6.199124e-4	2.816901e-2	23	2.581816e-2	1.000000e+0	1.000000e+0	3.833483e+1	2.608594e-2	1	5	1.123596e-2	2.000000e-1	DMR_41,DMR_42	papd4
GO Molecular Function	GO:0008028	monocarboxylic acid transmembrane transporter activity	10	1.139339e-3	1.000000e+0	2.058786e-1	1.485032e+1	2.020159e-1	3	2.845294e-3	4.225352e-2	7	3.079741e-3	1.000000e+0	7.950131e-1	2.395927e+1	8.347500e-2	2	16	2.247191e-2	1.250000e-1	DMR_36,DMR_37,DMR_80	slc16a1,slc6a1l
