plot.pdf	ENSG_ID	methylation_region	adj.R2	rho	rho.p-val
correlation_8:43636634-43636991_ENSDARG00000000966.pdf	ENSDARG00000000966	8:43636634-43636991	0.67	0.85	0.0075
correlation_25:27495329-27495387_ENSDARG00000013312.pdf	ENSDARG00000013312	25:27495329-27495387	0.86	0.98	4e-04
correlation_14:30817319-30817462_ENSDARG00000015472.pdf	ENSDARG00000015472	14:30817319-30817462	0.45	-0.83	0.0154
correlation_9:36199712-36199772_ENSDARG00000019856.pdf	ENSDARG00000019856	9:36199712-36199772	0.32	-0.79	0.0279
correlation_21:18183393-18183451_ENSDARG00000020730.pdf	ENSDARG00000020730	21:18183393-18183451	0.69	0.81	0.0218
correlation_5:519318-519614_ENSDARG00000028663.pdf	ENSDARG00000028663	5:519318-519614	0.55	0.83	0.0154
correlation_15:40965484-40965554_ENSDARG00000043443.pdf	ENSDARG00000043443	15:40965484-40965554	0.46	-0.79	0.0279
correlation_8:53725993-53726063_ENSDARG00000043443.pdf	ENSDARG00000043443	8:53725993-53726063	0.46	-0.79	0.0279
correlation_21:18183393-18183451_ENSDARG00000044718.pdf	ENSDARG00000044718	21:18183393-18183451	0.74	0.9	0.0046
correlation_15:40965484-40965554_ENSDARG00000053833.pdf	ENSDARG00000053833	15:40965484-40965554	0.54	0.83	0.0154
correlation_8:53725993-53726063_ENSDARG00000053833.pdf	ENSDARG00000053833	8:53725993-53726063	0.54	0.83	0.0154
correlation_21:26609906-26610054_ENSDARG00000055064.pdf	ENSDARG00000055064	21:26609906-26610054	0.37	-0.74	0.0458
correlation_5:55472666-55472724_ENSDARG00000059658.pdf	ENSDARG00000059658	5:55472666-55472724	0.48	0.76	0.0368
correlation_4:25541089-25541147_ENSDARG00000069311.pdf	ENSDARG00000069311	4:25541089-25541147	0.78	-0.93	0.0022
correlation_1:27241774-27241977_ENSDARG00000069996.pdf	ENSDARG00000069996	1:27241774-27241977	0.63	-0.86	0.0107
correlation_3:15294305-15294634_ENSDARG00000070845.pdf	ENSDARG00000070845	3:15294305-15294634	0.4	-0.93	0.0022
correlation_5:50837222-50837551_ENSDARG00000070845.pdf	ENSDARG00000070845	5:50837222-50837551	0.39	-0.93	0.0022
correlation_13:19129914-19130171_ENSDARG00000074597.pdf	ENSDARG00000074597	13:19129914-19130171	0.33	0.76	0.0368
correlation_13:19129914-19130171_ENSDARG00000076815.pdf	ENSDARG00000076815	13:19129914-19130171	0.47	0.88	0.0072
correlation_5:519318-519614_ENSDARG00000089382.pdf	ENSDARG00000089382	5:519318-519614	0.47	-0.88	0.0072
correlation_4:76317209-76317551_ENSDARG00000096762.pdf	ENSDARG00000096762	4:76317209-76317551	0.48	-0.74	0.0458
correlation_4:76318164-76318469_ENSDARG00000096762.pdf	ENSDARG00000096762	4:76318164-76318469	0.47	-0.76	0.0368
correlation_4:76321119-76321242_ENSDARG00000096762.pdf	ENSDARG00000096762	4:76321119-76321242	0.39	-0.74	0.0458
correlation_4:76321835-76322721_ENSDARG00000096762.pdf	ENSDARG00000096762	4:76321835-76322721	0.47	-0.74	0.0458
correlation_4:76328760-76329102_ENSDARG00000096762.pdf	ENSDARG00000096762	4:76328760-76329102	0.48	-0.74	0.0458
correlation_4:76329715-76330020_ENSDARG00000096762.pdf	ENSDARG00000096762	4:76329715-76330020	0.47	-0.76	0.0368
correlation_4:50965901-50966045_ENSDARG00000098610.pdf	ENSDARG00000098610	4:50965901-50966045	0.27	0.79	0.0279
correlation_19:19543571-19544505_ENSDARG00000103318.pdf	ENSDARG00000103318	19:19543571-19544505	0.83	-0.95	0.0011
