plot.pdf	ENSG_ID	methylation_region	adj.R2	rho	rho.p-val
correlation_8:43636634-43636991_ENSDARG00000000966.pdf	ENSDARG00000000966	8:43636634-43636991	0.67	0.85	0.0075
correlation_12:31484241-31484284_ENSDARG00000005185.pdf	ENSDARG00000005185	12:31484241-31484284	-0.16	-0.5	0.2162
correlation_14:48438700-48439043_ENSDARG00000005482.pdf	ENSDARG00000005482	14:48438700-48439043	0.16	-0.5	0.2162
correlation_21:25742419-25743136_ENSDARG00000006580.pdf	ENSDARG00000006580	21:25742419-25743136	-0.15	-0.29	0.5008
correlation_25:35275952-35276215_ENSDARG00000006600.pdf	ENSDARG00000006600	25:35275952-35276215	-0.16	-0.02	0.9768
correlation_5:55472666-55472724_ENSDARG00000007944.pdf	ENSDARG00000007944	5:55472666-55472724	-0.17	-0.1	0.8401
correlation_12:43750922-43751643_ENSDARG00000009480.pdf	ENSDARG00000009480	12:43750922-43751643	-0.02	-0.38	0.3599
correlation_25:27495329-27495387_ENSDARG00000013312.pdf	ENSDARG00000013312	25:27495329-27495387	0.86	0.98	4e-04
correlation_6:18516395-18516519_ENSDARG00000014727.pdf	ENSDARG00000014727	6:18516395-18516519	0.03	0.31	0.4618
correlation_14:30817319-30817462_ENSDARG00000015472.pdf	ENSDARG00000015472	14:30817319-30817462	0.45	-0.83	0.0154
correlation_9:2176455-2176742_ENSDARG00000017775.pdf	ENSDARG00000017775	9:2176455-2176742	0.18	0.31	0.4618
correlation_23:18575580-18575799_ENSDARG00000017781.pdf	ENSDARG00000017781	23:18575580-18575799	0.12	0.5	0.2162
correlation_9:36199712-36199772_ENSDARG00000019856.pdf	ENSDARG00000019856	9:36199712-36199772	0.32	-0.79	0.0279
correlation_21:18183393-18183451_ENSDARG00000020730.pdf	ENSDARG00000020730	21:18183393-18183451	0.69	0.81	0.0218
correlation_21:19781090-19781134_ENSDARG00000023536.pdf	ENSDARG00000023536	21:19781090-19781134	-0.09	-0.1	0.8401
correlation_15:16403370-16403428_ENSDARG00000024139.pdf	ENSDARG00000024139	15:16403370-16403428	0.27	0.55	0.171
correlation_9:47102827-47102975_ENSDARG00000025348.pdf	ENSDARG00000025348	9:47102827-47102975	0.04	-0.52	0.1966
correlation_18:12547869-12548012_ENSDARG00000026865.pdf	ENSDARG00000026865	18:12547869-12548012	0.03	-0.4	0.3268
correlation_5:519318-519614_ENSDARG00000028663.pdf	ENSDARG00000028663	5:519318-519614	0.55	0.83	0.0154
correlation_4:27089688-27089904_ENSDARG00000029071.pdf	ENSDARG00000029071	4:27089688-27089904	0.01	0.36	0.3894
correlation_23:18575580-18575799_ENSDARG00000029219.pdf	ENSDARG00000029219	23:18575580-18575799	0.33	0.52	0.1966
correlation_1:50456343-50456668_ENSDARG00000030289.pdf	ENSDARG00000030289	1:50456343-50456668	0.39	-0.55	0.171
correlation_21:19781090-19781134_ENSDARG00000030932.pdf	ENSDARG00000030932	21:19781090-19781134	0.23	-0.31	0.4618
correlation_4:25541089-25541147_ENSDARG00000031346.pdf	ENSDARG00000031346	4:25541089-25541147	-0.12	-0.12	0.793
correlation_14:30817319-30817462_ENSDARG00000032199.pdf	ENSDARG00000032199	14:30817319-30817462	0	0.31	0.4618
correlation_19:20893850-20893993_ENSDARG00000036212.pdf	ENSDARG00000036212	19:20893850-20893993	-0.16	0.14	0.752
correlation_6:18516395-18516519_ENSDARG00000036567.pdf	ENSDARG00000036567	6:18516395-18516519	-0.16	-0.14	0.752
correlation_12:43750922-43751643_ENSDARG00000038439.pdf	ENSDARG00000038439	12:43750922-43751643	-0.09	0.38	0.3599
correlation_14:48438700-48439043_ENSDARG00000040198.pdf	ENSDARG00000040198	14:48438700-48439043	-0.12	0.31	0.4618
correlation_22:30763416-30763613_ENSDARG00000040920.pdf	ENSDARG00000040920	22:30763416-30763613	-0.13	0.38	0.3599
correlation_4:26794200-26794344_ENSDARG00000041205.pdf	ENSDARG00000041205	4:26794200-26794344	0.08	-0.5	0.2162
correlation_4:26794868-26796593_ENSDARG00000041205.pdf	ENSDARG00000041205	4:26794868-26796593	0.36	-0.69	0.0694
correlation_4:27089688-27089904_ENSDARG00000041205.pdf	ENSDARG00000041205	4:27089688-27089904	-0.16	0.14	0.752
correlation_8:43636634-43636991_ENSDARG00000041705.pdf	ENSDARG00000041705	8:43636634-43636991	-0.16	0.31	0.4494
correlation_18:12547869-12548012_ENSDARG00000042518.pdf	ENSDARG00000042518	18:12547869-12548012	0.05	0.43	0.2992
correlation_15:40965484-40965554_ENSDARG00000043443.pdf	ENSDARG00000043443	15:40965484-40965554	0.46	-0.79	0.0279
correlation_8:53725993-53726063_ENSDARG00000043443.pdf	ENSDARG00000043443	8:53725993-53726063	0.46	-0.79	0.0279
correlation_1:50456343-50456668_ENSDARG00000043587.pdf	ENSDARG00000043587	1:50456343-50456668	0.32	0.69	0.0694
correlation_18:29842418-29842477_ENSDARG00000043635.pdf	ENSDARG00000043635	18:29842418-29842477	0.01	0.4	0.3268
correlation_20:10379108-10380070_ENSDARG00000043665.pdf	ENSDARG00000043665	20:10379108-10380070	0.33	-0.55	0.171
correlation_20:10381067-10381211_ENSDARG00000043665.pdf	ENSDARG00000043665	20:10381067-10381211	0.23	-0.21	0.6191
correlation_21:18183393-18183451_ENSDARG00000044718.pdf	ENSDARG00000044718	21:18183393-18183451	0.74	0.9	0.0046
correlation_12:31484241-31484284_ENSDARG00000045268.pdf	ENSDARG00000045268	12:31484241-31484284	0.44	-0.71	0.0576
correlation_24:26177207-26177256_ENSDARG00000045296.pdf	ENSDARG00000045296	24:26177207-26177256	0.22	-0.4	0.3268
