plot.pdf	ENSG_ID	methylation_region	adj.R2	rho	rho.p-val
correlation_23:34148838-34148922_ENSDARG00000003206.pdf	ENSDARG00000003206	23:34148838-34148922	0.03	-0.45	0.2675
correlation_1:23030668-23030780_ENSDARG00000004246.pdf	ENSDARG00000004246	1:23030668-23030780	-0.05	0.17	0.7033
correlation_5:56642373-56642423_ENSDARG00000012196.pdf	ENSDARG00000012196	5:56642373-56642423	0.27	-0.64	0.0962
correlation_7:41628580-41628639_ENSDARG00000012199.pdf	ENSDARG00000012199	7:41628580-41628639	-0.06	-0.14	0.752
correlation_15:15347775-15347834_ENSDARG00000015134.pdf	ENSDARG00000015134	15:15347775-15347834	-0.16	-0.17	0.7033
correlation_17:13317469-13317528_ENSDARG00000015851.pdf	ENSDARG00000015851	17:13317469-13317528	0.2	0.55	0.171
correlation_21:34048417-34048464_ENSDARG00000022378.pdf	ENSDARG00000022378	21:34048417-34048464	0.08	0.36	0.3894
correlation_15:15347775-15347834_ENSDARG00000026448.pdf	ENSDARG00000026448	15:15347775-15347834	0.17	-0.6	0.1323
correlation_10:13818580-13818627_ENSDARG00000028661.pdf	ENSDARG00000028661	10:13818580-13818627	0.54	0.79	0.0279
correlation_14:9139202-9139252_ENSDARG00000029890.pdf	ENSDARG00000029890	14:9139202-9139252	-0.02	0.02	0.9543
correlation_17:4875293-4875352_ENSDARG00000038000.pdf	ENSDARG00000038000	17:4875293-4875352	0.19	-0.55	0.171
correlation_12:44842669-44842753_ENSDARG00000039667.pdf	ENSDARG00000039667	12:44842669-44842753	0.39	-0.74	0.0458
correlation_4:26795550-26796593_ENSDARG00000041205.pdf	ENSDARG00000041205	4:26795550-26796593	0.1	-0.5	0.2162
correlation_8:45971963-45972047_ENSDARG00000041576.pdf	ENSDARG00000041576	8:45971963-45972047	0.29	-0.74	0.0458
correlation_15:40965484-40965554_ENSDARG00000043443.pdf	ENSDARG00000043443	15:40965484-40965554	0.12	-0.33	0.4279
correlation_8:53725993-53726063_ENSDARG00000043443.pdf	ENSDARG00000043443	8:53725993-53726063	0.11	-0.33	0.4279
correlation_20:10379271-10379898_ENSDARG00000043665.pdf	ENSDARG00000043665	20:10379271-10379898	0.12	-0.5	0.2162
correlation_17:4875293-4875352_ENSDARG00000043797.pdf	ENSDARG00000043797	17:4875293-4875352	0.29	0.55	0.171
correlation_11:17345747-17345831_ENSDARG00000044914.pdf	ENSDARG00000044914	11:17345747-17345831	0.31	0.6	0.1323
correlation_1:57195763-57195896_ENSDARG00000052037.pdf	ENSDARG00000052037	1:57195763-57195896	0.89	0.6	0.1323
correlation_15:40965484-40965554_ENSDARG00000053833.pdf	ENSDARG00000053833	15:40965484-40965554	0.2	0.67	0.0831
correlation_8:53725993-53726063_ENSDARG00000053833.pdf	ENSDARG00000053833	8:53725993-53726063	0.2	0.67	0.0831
correlation_9:53005255-53005469_ENSDARG00000056439.pdf	ENSDARG00000056439	9:53005255-53005469	-0.15	-0.14	0.752
correlation_12:44842669-44842753_ENSDARG00000056605.pdf	ENSDARG00000056605	12:44842669-44842753	0.09	-0.36	0.3894
correlation_17:11798673-11798813_ENSDARG00000058050.pdf	ENSDARG00000058050	17:11798673-11798813	0.25	0.55	0.171
correlation_8:45971963-45972047_ENSDARG00000060029.pdf	ENSDARG00000060029	8:45971963-45972047	0.03	0.36	0.3894
correlation_11:17345747-17345831_ENSDARG00000062471.pdf	ENSDARG00000062471	11:17345747-17345831	0.18	-0.57	0.1511
correlation_1:23030668-23030780_ENSDARG00000070098.pdf	ENSDARG00000070098	1:23030668-23030780	-0.13	0.36	0.3894
correlation_11:18665749-18665847_ENSDARG00000070666.pdf	ENSDARG00000070666	11:18665749-18665847	-0.16	0.1	0.8401
correlation_14:9139202-9139252_ENSDARG00000071876.pdf	ENSDARG00000071876	14:9139202-9139252	-0.08	0.07	0.882
correlation_1:57195763-57195896_ENSDARG00000074205.pdf	ENSDARG00000074205	1:57195763-57195896	0.65	0.79	0.0279
correlation_17:11798673-11798813_ENSDARG00000074323.pdf	ENSDARG00000074323	17:11798673-11798813	0.21	-0.69	0.0694
correlation_4:33606868-33608576_ENSDARG00000076252.pdf	ENSDARG00000076252	4:33606868-33608576	0.04	0.52	0.1966
correlation_13:20371318-20371726_ENSDARG00000077188.pdf	ENSDARG00000077188	13:20371318-20371726	0.33	-0.4	0.3268
correlation_7:60569930-60570264_ENSDARG00000079584.pdf	ENSDARG00000079584	7:60569930-60570264	0.05	0.5	0.2162
correlation_4:33606868-33608576_ENSDARG00000091013.pdf	ENSDARG00000091013	4:33606868-33608576	-0.17	0.07	0.882
correlation_4:49122953-49123023_ENSDARG00000092329.pdf	ENSDARG00000092329	4:49122953-49123023	-0.11	-0.43	0.2992
correlation_4:49122953-49123023_ENSDARG00000094177.pdf	ENSDARG00000094177	4:49122953-49123023	-0.05	0.38	0.3599
correlation_19:19543571-19544027_ENSDARG00000098317.pdf	ENSDARG00000098317	19:19543571-19544027	-0.17	-0.07	0.882
correlation_19:19544050-19544443_ENSDARG00000098317.pdf	ENSDARG00000098317	19:19544050-19544443	-0.13	0.05	0.9349
correlation_4:50966939-50967355_ENSDARG00000098610.pdf	ENSDARG00000098610	4:50966939-50967355	-0.15	-0.21	0.6191
correlation_9:53005255-53005469_ENSDARG00000099298.pdf	ENSDARG00000099298	9:53005255-53005469	-0.13	0	1
correlation_4:36208537-36209325_ENSDARG00000099679.pdf	ENSDARG00000099679	4:36208537-36209325	-0.11	-0.17	0.7033
correlation_4:36209419-36210191_ENSDARG00000099679.pdf	ENSDARG00000099679	4:36209419-36210191	0	0.33	0.4279
correlation_13:20371318-20371726_ENSDARG00000099732.pdf	ENSDARG00000099732	13:20371318-20371726	-0.15	-0.17	0.7033
correlation_4:30435596-30435666_ENSDARG00000099837.pdf	ENSDARG00000099837	4:30435596-30435666	-0.1	0.07	0.882
correlation_4:26795550-26796593_ENSDARG00000099850.pdf	ENSDARG00000099850	4:26795550-26796593	-0.06	0	1
correlation_4:55024871-55024986_ENSDARG00000101137.pdf	ENSDARG00000101137	4:55024871-55024986	-0.12	-0.32	0.444
correlation_3:12626107-12626191_ENSDARG00000101190.pdf	ENSDARG00000101190	3:12626107-12626191	-0.12	0.1	0.8401
correlation_4:30435596-30435666_ENSDARG00000102799.pdf	ENSDARG00000102799	4:30435596-30435666	-0.17	-0.14	0.752
correlation_3:12626107-12626191_ENSDARG00000102981.pdf	ENSDARG00000102981	3:12626107-12626191	0.16	-0.55	0.171
correlation_19:19543571-19544027_ENSDARG00000103318.pdf	ENSDARG00000103318	19:19543571-19544027	0.68	-0.69	0.0694
correlation_19:19544050-19544443_ENSDARG00000103318.pdf	ENSDARG00000103318	19:19544050-19544443	0.41	-0.62	0.115
correlation_4:55024871-55024986_ENSDARG00000103417.pdf	ENSDARG00000103417	4:55024871-55024986	-0.17	-0.17	0.7033
correlation_4:50966939-50967355_ENSDARG00000103723.pdf	ENSDARG00000103723	4:50966939-50967355	-0.12	-0.02	0.9768
correlation_7:41628580-41628639_ENSDARG00000104066.pdf	ENSDARG00000104066	7:41628580-41628639	-0.09	-0.21	0.6191
correlation_4:36208537-36209325_ENSDARG00000104893.pdf	ENSDARG00000104893	4:36208537-36209325	-0.15	-0.06	0.888
correlation_4:36209419-36210191_ENSDARG00000104893.pdf	ENSDARG00000104893	4:36209419-36210191	-0.15	-0.3	0.4713
