#chr	start	stop	q-value	mean methylation difference	#CpGs	mean g1	mean g2	ID	status
chr1	23030668	23030780	0.00054	0.159050	10	0.4798	0.32075	DMR_1	hypermethylated
chr1	57195763	57195896	2.8e-05	-0.197000	16	0.04675	0.24375	DMR_2	hypomethylated
chr10	13818580	13818627	0.042	0.139550	10	0.9318	0.79225	DMR_3	hypermethylated
chr11	17345747	17345831	0.00032	-0.280958	12	0.16633	0.44729	DMR_4	hypomethylated
chr11	18665749	18665847	0.036	-0.111176	17	0.43118	0.54235	DMR_5	hypomethylated
chr12	44842669	44842753	0.00032	-0.274792	12	0.1625	0.43729	DMR_6	hypomethylated
chr13	20371318	20371726	0.0045	-0.160789	19	0.69105	0.85184	DMR_7	hypomethylated
chr14	9139202	9139252	0.016	0.154400	10	0.9404	0.786	DMR_8	hypermethylated
chr15	15347775	15347834	0.04	-0.260850	10	0.1894	0.45025	DMR_9	hypomethylated
chr15	40965484	40965554	0.00023	0.223115	13	0.88138	0.65827	DMR_10	hypermethylated
chr17	4875293	4875352	0.04	-0.260850	10	0.1894	0.45025	DMR_11	hypomethylated
chr17	11798673	11798813	0.00032	-0.287500	12	0.16333	0.45083	DMR_12	hypomethylated
chr17	13317469	13317528	0.04	-0.260850	10	0.1894	0.45025	DMR_13	hypomethylated
chr19	19543571	19544027	8.2e-11	-0.341588	17	0.54518	0.88676	DMR_14	hypomethylated
chr19	19544050	19544443	0.021	-0.221529	17	0.51494	0.73647	DMR_15	hypomethylated
chr20	10379271	10379898	1.4e-13	-0.206986	37	0.38362	0.59061	DMR_16	hypomethylated
chr21	34048417	34048464	0.012	0.117950	10	0.9382	0.82025	DMR_17	hypermethylated
chr23	34148838	34148922	0.00032	-0.276042	12	0.1625	0.43854	DMR_18	hypomethylated
chr3	12626107	12626191	0.00032	-0.276458	12	0.1625	0.43896	DMR_19	hypomethylated
chr4	26795550	26796593	1.5e-08	-0.218429	35	0.46543	0.68386	DMR_20	hypomethylated
chr4	30435596	30435666	0.00023	0.223115	13	0.88138	0.65827	DMR_21	hypermethylated
chr4	33606868	33608576	2.8e-13	-0.136703	123	0.5525	0.68921	DMR_22	hypomethylated
chr4	36208537	36209325	0.0043	-0.176567	30	0.55727	0.73383	DMR_23	hypomethylated
chr4	36209419	36210191	5.4e-09	-0.323237	19	0.53084	0.85408	DMR_24	hypomethylated
chr4	49122953	49123023	0.00023	0.222923	13	0.88062	0.65769	DMR_25	hypermethylated
chr4	50966939	50967355	5.9e-15	-0.332900	20	0.5651	0.898	DMR_26	hypomethylated
chr4	50969526	50970044	0.0077	-0.257500	12	0.63667	0.89417	DMR_27	hypomethylated
chr4	55024871	55024986	0.038	-0.266150	10	0.1866	0.45275	DMR_28	hypomethylated
chr5	56642373	56642423	0.011	0.117750	10	0.943	0.82525	DMR_29	hypermethylated
chr6	15545654	15545712	0.0035	-0.168346	13	0.51569	0.68404	DMR_30	hypomethylated
chr7	41628580	41628639	0.036	-0.271200	10	0.1938	0.465	DMR_31	hypomethylated
chr7	60569930	60570264	0.0073	-0.165633	15	0.67587	0.8415	DMR_32	hypomethylated
chr8	45971963	45972047	0.00032	-0.274792	12	0.1625	0.43729	DMR_33	hypomethylated
chr8	53725993	53726063	0.00038	0.222769	13	0.88046	0.65769	DMR_34	hypermethylated
chr9	53005255	53005469	1.9e-10	0.224833	12	0.469	0.24417	DMR_35	hypermethylated
chrUn_KN149690v1	104860	106276	4.8e-17	-0.250790	62	0.553	0.80379	DMR_36	hypomethylated
chrUn_KN150210v1	5668	5766	0.036	-0.111176	17	0.43118	0.54235	DMR_37	hypomethylated
