#chr	start	stop	q-value	mean methylation difference	#CpGs	mean g1	mean g2	ID	status
chr1	27241774	27241977	4e-11	-0.399333	12	0.23233	0.63167	DMR_1	hypomethylated
chr1	50456343	50456668	4.9e-08	0.537200	10	0.6602	0.123	DMR_2	hypermethylated
chr1	52629541	52629725	0.0027	-0.125833	12	0.85583	0.98167	DMR_3	hypomethylated
chr1	53821441	53821720	0.039	-0.169950	10	0.5108	0.68075	DMR_4	hypomethylated
chr11	18665749	18665892	0.00082	-0.228800	10	0.3012	0.53	DMR_5	hypomethylated
chr12	31484241	31484284	6.9e-06	-0.238850	10	0.2544	0.49325	DMR_6	hypomethylated
chr12	43750922	43751643	0.00055	-0.213711	19	0.26589	0.47961	DMR_7	hypomethylated
chr13	19129914	19130171	2.6e-08	-0.437444	18	0.44144	0.87889	DMR_8	hypomethylated
chr14	15302516	15302667	0.0011	-0.215417	12	0.55333	0.76875	DMR_9	hypomethylated
chr14	30817319	30817462	0.00082	-0.228600	10	0.3014	0.53	DMR_10	hypomethylated
chr14	42346935	42347022	3.5e-07	-0.206952	21	0.55114	0.7581	DMR_11	hypomethylated
chr14	48438700	48439043	7.1e-05	0.222450	10	0.8522	0.62975	DMR_12	hypermethylated
chr15	16403370	16403428	0.00032	-0.197800	10	0.5662	0.764	DMR_13	hypomethylated
chr15	40965484	40965554	2.2e-13	0.318038	13	0.97631	0.65827	DMR_14	hypermethylated
chr18	12547869	12548012	0.00082	-0.228600	10	0.3014	0.53	DMR_15	hypomethylated
chr18	29842418	29842477	0.00085	0.210682	11	0.97455	0.76386	DMR_16	hypermethylated
chr19	19542052	19542196	1.3e-08	-0.161545	11	0.81891	0.98045	DMR_17	hypomethylated
chr19	19543571	19544505	9.6e-38	-0.470978	45	0.36013	0.83111	DMR_18	hypomethylated
chr19	20893850	20893993	0.00082	-0.228600	10	0.3014	0.53	DMR_19	hypomethylated
chr20	10379108	10380070	5e-36	-0.385781	48	0.26917	0.65495	DMR_20	hypomethylated
chr20	10381067	10381211	4.5e-10	-0.173227	11	0.80745	0.98068	DMR_21	hypomethylated
chr21	18183393	18183451	0.00014	-0.201100	10	0.5594	0.7605	DMR_22	hypomethylated
chr21	19781090	19781134	0.0007	0.241958	12	0.88383	0.64187	DMR_23	hypermethylated
chr21	25742419	25743136	0.00034	-0.208474	19	0.26495	0.47342	DMR_24	hypomethylated
chr21	26609906	26610054	6.9e-06	-0.208361	18	0.29456	0.50292	DMR_25	hypomethylated
chr22	2175327	2175414	1.7e-06	-0.259875	12	0.45367	0.71354	DMR_26	hypomethylated
chr22	30763416	30763613	0.035	-0.129417	18	0.67322	0.80264	DMR_27	hypomethylated
chr23	18575580	18575799	0.02	-0.157971	17	0.16659	0.32456	DMR_28	hypomethylated
chr24	26177207	26177256	0.0031	-0.192500	10	0.629	0.8215	DMR_29	hypomethylated
chr25	27495329	27495387	0.00014	-0.201100	10	0.5594	0.7605	DMR_30	hypomethylated
chr25	35275952	35276215	0.0032	-0.295344	16	0.6845	0.97984	DMR_31	hypomethylated
chr3	8041963	8042424	1.8e-13	-0.436361	18	0.32211	0.75847	DMR_32	hypomethylated
chr3	8044207	8044351	4.6e-10	-0.166864	11	0.81382	0.98068	DMR_33	hypomethylated
chr3	15294305	15294634	1.3e-05	-0.177438	16	0.61412	0.79156	DMR_34	hypomethylated
chr4	25541089	25541147	0.00032	-0.197800	10	0.5662	0.764	DMR_35	hypomethylated
chr4	26794200	26794344	1.3e-08	-0.161545	11	0.81891	0.98045	DMR_36	hypomethylated
chr4	26794868	26796593	8.9e-39	-0.415878	49	0.29453	0.71041	DMR_37	hypomethylated
chr4	27089688	27089904	0.0091	0.345423	13	0.386	0.040577	DMR_38	hypermethylated
chr4	30435596	30435666	2.2e-13	0.318346	13	0.97662	0.65827	DMR_39	hypermethylated
chr4	33606868	33608772	5e-88	-0.382625	88	0.24164	0.62426	DMR_40	hypomethylated
chr4	36208839	36210191	2.5e-46	-0.472373	51	0.31027	0.78265	DMR_41	hypomethylated
chr4	36211188	36211332	4.6e-10	-0.166864	11	0.81382	0.98068	DMR_42	hypomethylated
chr4	44356268	44356968	0.0065	-0.147575	20	0.5653	0.71287	DMR_43	hypomethylated
chr4	49122953	49123023	2.2e-13	0.318462	13	0.97615	0.65769	DMR_44	hypermethylated
chr4	50261062	50261105	1.5e-05	-0.207000	10	0.294	0.501	DMR_45	hypomethylated
chr4	50261113	50261204	4.7e-06	-0.174480	25	0.30952	0.484	DMR_46	hypomethylated
chr4	50965901	50966045	1.3e-08	-0.161545	11	0.81891	0.98045	DMR_47	hypomethylated
chr4	50966939	50967355	1.3e-23	-0.533500	22	0.36264	0.89614	DMR_48	hypomethylated
chr4	50967767	50968535	4.9e-19	-0.423554	28	0.43207	0.85562	DMR_49	hypomethylated
chr4	50969008	50969278	1.1e-10	-0.475861	18	0.34567	0.82153	DMR_50	hypomethylated
chr4	50969939	50970105	3.3e-12	-0.498269	13	0.39615	0.89442	DMR_51	hypomethylated
chr4	53799494	53799522	0.00081	-0.222192	13	0.57723	0.79942	DMR_52	hypomethylated
chr4	53847311	53847339	0.00081	-0.217885	13	0.58154	0.79942	DMR_53	hypomethylated
chr4	61865844	61865992	6.9e-06	-0.208361	18	0.29456	0.50292	DMR_54	hypomethylated
chr4	76317209	76317551	1.9e-05	-0.306842	19	0.35632	0.66316	DMR_55	hypomethylated
chr4	76317583	76317994	1.2e-07	-0.219694	36	0.49239	0.71208	DMR_56	hypomethylated
chr4	76318164	76318469	1.2e-05	-0.301833	21	0.35448	0.65631	DMR_57	hypomethylated
chr4	76318691	76318719	0.00081	-0.218269	13	0.58077	0.79904	DMR_58	hypomethylated
chr4	76320022	76320434	7.8e-10	-0.202829	41	0.52059	0.72341	DMR_59	hypomethylated
chr4	76321119	76321242	4.5e-06	-0.284294	17	0.38306	0.66735	DMR_60	hypomethylated
chr4	76321356	76321835	6e-06	-0.282478	23	0.42339	0.70587	DMR_61	hypomethylated
chr4	76321835	76322721	6.2e-10	-0.173508	63	0.5307	0.70421	DMR_62	hypomethylated
chr4	76325372	76325484	0.048	-0.227286	14	0.47771	0.705	DMR_63	hypomethylated
chr4	76328760	76329102	1.9e-05	-0.306842	19	0.35632	0.66316	DMR_64	hypomethylated
chr4	76329134	76329545	1.2e-07	-0.219917	36	0.49217	0.71208	DMR_65	hypomethylated
chr4	76329715	76330020	1.2e-05	-0.301833	21	0.35448	0.65631	DMR_66	hypomethylated
chr4	76330242	76330270	0.00081	-0.218269	13	0.58077	0.79904	DMR_67	hypomethylated
chr4	76331534	76331621	0.00013	-0.191271	24	0.53717	0.72844	DMR_68	hypomethylated
chr5	519318	519614	0.024	-0.201500	16	0.1635	0.365	DMR_69	hypomethylated
chr5	50837222	50837551	1.3e-05	-0.176937	16	0.61462	0.79156	DMR_70	hypomethylated
chr5	52504981	52505583	3.2e-13	-0.370156	16	0.245	0.61516	DMR_71	hypomethylated
chr5	55472666	55472724	0.00014	-0.201100	10	0.5594	0.7605	DMR_72	hypomethylated
chr6	18516395	18516519	4e-10	-0.213469	16	0.34075	0.55422	DMR_73	hypomethylated
